repo_id,repo_name,stars,openrank_2025,language,created_at,description
65600975,pytorch/pytorch,91856,5525,Python,2016-08-13,Tensors and Dynamic neural networks in Python with strong GPU acceleration
41881900,microsoft/vscode,175094,4298,TypeScript,2015-09-03,Visual Studio Code
599547518,vllm-project/vllm,53443,3822,Python,2023-02-09,A high-throughput and memory-efficient inference and serving engine for LLMs
626805178,langgenius/dify,108862,2799,TypeScript,2023-04-12,Production-ready platform for agentic workflow development.
601205363,tenstorrent/tt-metal,1023,2112,C++,2023-02-13,":metal: TT-NN operator library, and TT-Metalium low level kernel programming model."
507775,elastic/elasticsearch,73370,2085,Java,2010-02-08,"Free and Open Source, Distributed, RESTful Search Engine"
155220641,huggingface/transformers,147601,1932,Python,2018-10-29,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
629635341,microsoft/vscode-copilot-release,972,1934,,2023-04-18,Feedback on GitHub Copilot Chat UX in Visual Studio Code.
805155266,CherryHQ/cherry-studio,30729,1831,TypeScript,2024-05-24,🍒 Cherry Studio is a desktop client that supports for multiple LLM providers.
740303686,sgl-project/sglang,16379,1793,Python,2024-01-08,SGLang is a fast serving framework for large language models and vision language models.
658928958,ollama/ollama,147853,1736,Go,2023-06-26,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models."
33884891,apache/airflow,41281,1715,Python,2015-04-13,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
99919302,apache/doris,14028,1713,Groovy,2017-08-10,"Apache Doris is an easy-to-use, high performance and unified analytics database."
153097643,openvinotoolkit/openvino,8646,1609,C++,2018-10-15,OpenVINO™ is an open source toolkit for optimizing and deploying AI inference
671269505,BerriAI/litellm,26475,1505,Python,2023-07-27,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, Replicate, Groq]"
612354784,ggml-org/llama.cpp,83595,1434,C++,2023-03-10,LLM inference in C/C++
701547123,open-webui/open-webui,104284,1440,JavaScript,2023-10-06,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
71932349,ray-project/ray,38221,1412,Python,2016-10-25,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
193215554,n8n-io/n8n,124653,1405,TypeScript,2019-06-22,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations."
612354784,ggml-org/llama.cpp,83595,1434,C++,2023-03-10,LLM inference in C/C++
535360445,ultralytics/ultralytics,43718,1353,Python,2022-09-11,Ultralytics YOLO 🚀
65711522,PaddlePaddle/Paddle,23074,1287,C++,2016-08-15,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）
730534580,infiniflow/ragflow,61161,1230,Python,2023-12-12,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.
463628495,pytorch/executorch,3075,1209,Python,2022-02-25,"On-device AI across mobile, embedded and edge for PyTorch"
283046497,airbytehq/airbyte,18984,1183,Python,2020-07-27,"The leading data integration platform for ETL / ELT data pipelines from APIs, databases & files to data warehouses, data lakes & data lakehouses. Both self-hosted and Cloud-hosted."
200722670,NVIDIA/NeMo,15242,1180,Python,2019-08-05,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)"
156939672,microsoft/onnxruntime,17334,1157,C++,2018-11-10,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator"
